requirement_id,priority,theme,requirement,covered_stages,task_ids,acceptance_gate,test_or_evidence,evidence_ref,status,source_file
REQ-P0-001,P0,项目成本权威基准,销售绩效考核压缩包内权威项目成本分析必须作为A0基准，金额分毫不差,S03;S04;S05;S06,S3PAT01;S3PAT02;S3PAT03;S3PBT01;S3PBT02;S3PBT03;S3PCT01;S3PCT02;S3PCT03;S4PAT01;S4PAT02;S4PAT03;S4PBT01;S4PBT02;S4PBT03;S4PCT01;S4PCT02;S4PCT03;S5PAT01;S5PAT02;S5PAT03;S5PBT01;S5PBT02;S5PBT03;S5PCT01;S5PCT02;S5PCT03;S6PAT01;S6PAT02;S6PAT03;S6PBT01;S6PBT02;S6PBT03;S6PCT01;S6PCT02;S6PCT03,ACC-ZERO-DELTA,test_zero_delta_a0,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-002,P0,零差异金额精度,任意0.01元差异必须失败，禁止float，使用整数分或Decimal,S04;S06;S18,S4PAT01;S4PAT02;S4PAT03;S4PBT01;S4PBT02;S4PBT03;S4PCT01;S4PCT02;S4PCT03;S6PAT01;S6PAT02;S6PAT03;S6PBT01;S6PBT02;S6PBT03;S6PCT01;S6PCT02;S6PCT03;S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-AMOUNT-STRICT,test_amount_precision,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-003,P0,原始数据不可污染,前端和后端不得修改原始上传数据、hash、原始抽取值,S02;S03;S12;S17,S2PAT01;S2PAT02;S2PAT03;S2PBT01;S2PBT02;S2PBT03;S2PCT01;S2PCT02;S2PCT03;S3PAT01;S3PAT02;S3PAT03;S3PBT01;S3PBT02;S3PBT03;S3PCT01;S3PCT02;S3PCT03;S12PAT01;S12PAT02;S12PAT03;S12PBT01;S12PBT02;S12PBT03;S12PCT01;S12PCT02;S12PCT03;S17PAT01;S17PAT02;S17PAT03;S17PBT01;S17PBT02;S17PBT03;S17PCT01;S17PCT02;S17PCT03,ACC-RAW-IMMUTABLE,test_raw_immutable,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-004,P0,引用一致性,同一原始数据被不同板块引用不一致时必须失效缓存并重跑链路,S02;S08;S09;S12;S18,S2PAT01;S2PAT02;S2PAT03;S2PBT01;S2PBT02;S2PBT03;S2PCT01;S2PCT02;S2PCT03;S8PAT01;S8PAT02;S8PAT03;S8PBT01;S8PBT02;S8PBT03;S8PCT01;S8PCT02;S8PCT03;S9PAT01;S9PAT02;S9PAT03;S9PBT01;S9PBT02;S9PBT03;S9PCT01;S9PCT02;S9PCT03;S12PAT01;S12PAT02;S12PAT03;S12PBT01;S12PBT02;S12PBT03;S12PCT01;S12PCT02;S12PCT03;S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-RERUN-CONSISTENCY,test_rerun_consistency,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-005,P0,人类可读口径转换,内部口径转换与差异核对规则必须人类可读，可审计，可回滚,S09;S10;S12,S9PAT01;S9PAT02;S9PAT03;S9PBT01;S9PBT02;S9PBT03;S9PCT01;S9PCT02;S9PCT03;S10PAT01;S10PAT02;S10PAT03;S10PBT01;S10PBT02;S10PBT03;S10PCT01;S10PCT02;S10PCT03;S12PAT01;S12PAT02;S12PAT03;S12PBT01;S12PBT02;S12PBT03;S12PCT01;S12PCT02;S12PCT03,ACC-ADJUSTMENT-READABLE,test_adjustment_lineage,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-006,P0,数据源检查矩阵,按来源系统、业务板块、文件包、主体、账户、频率、状态、影响报告展示,S03;S07;S11,S3PAT01;S3PAT02;S3PAT03;S3PBT01;S3PBT02;S3PBT03;S3PCT01;S3PCT02;S3PCT03;S7PAT01;S7PAT02;S7PAT03;S7PBT01;S7PBT02;S7PBT03;S7PCT01;S7PCT02;S7PCT03;S11PAT01;S11PAT02;S11PAT03;S11PBT01;S11PBT02;S11PBT03;S11PCT01;S11PCT02;S11PCT03,ACC-DATA-CHECKBOARD,test_readiness_board,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-007,P0,报告不显工具痕迹,全中文、商务蓝色系、真实软件质感，避免明显工具化语言,S10;S11;S16,S10PAT01;S10PAT02;S10PAT03;S10PBT01;S10PBT02;S10PBT03;S10PCT01;S10PCT02;S10PCT03;S11PAT01;S11PAT02;S11PAT03;S11PBT01;S11PBT02;S11PBT03;S11PCT01;S11PCT02;S11PCT03;S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-UI-HUMAN,ui_review_checklist,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-008,P0,质量优先时间参考,时间为参考窗口，不得为凑时间放慢，也不得为赶时间绕过质量门禁,S01;S18,S1PAT01;S1PAT02;S1PAT03;S1PBT01;S1PBT02;S1PBT03;S1PCT01;S1PCT02;S1PCT03;S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-TIME-QUALITY,go_no_go_check,KMFA/metadata/stage_status.jsonl,stage1_bound_future_stage_pending,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-009,P1,财务经营报表线,支持经营周/月/季/半年/年报告基础线,S13;S14;S16,S13PAT01;S13PAT02;S13PAT03;S13PBT01;S13PBT02;S13PBT03;S13PCT01;S13PCT02;S13PCT03;S14PAT01;S14PAT02;S14PAT03;S14PBT01;S14PBT02;S14PBT03;S14PCT01;S14PCT02;S14PCT03;S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-FINANCE-REPORT,test_finance_report,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-010,P1,回款应收账龄线,识别已开票未回款、完工未结算、结算未开票、逾期应收等,S13;S15,S13PAT01;S13PAT02;S13PAT03;S13PBT01;S13PBT02;S13PBT03;S13PCT01;S13PCT02;S13PCT03;S15PAT01;S15PAT02;S15PAT03;S15PBT01;S15PBT02;S15PBT03;S15PCT01;S15PCT02;S15PCT03,ACC-AR-CHECK,test_ar_aging,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-011,P1,销售绩效事实线,输出绩效事实与复核清单，不做工资最终审批,S15,S15PAT01;S15PAT02;S15PAT03;S15PBT01;S15PBT02;S15PBT03;S15PCT01;S15PCT02;S15PCT03,ACC-PERFORMANCE-FACTS,test_performance_facts,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-012,P1,资金计划现金贷款线,资金缺口、账户、贷款、现金压力提示，不做付款审批,S14,S14PAT01;S14PAT02;S14PAT03;S14PBT01;S14PBT02;S14PBT03;S14PCT01;S14PCT02;S14PCT03,ACC-CASH-PLAN,test_cash_plan,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-013,P1,开票纳税税务政策线,开票纳税证据、税务风险、政策材料缺口，不做正式申报,S14,S14PAT01;S14PAT02;S14PAT03;S14PBT01;S14PBT02;S14PBT03;S14PCT01;S14PCT02;S14PCT03,ACC-TAX-EVIDENCE,test_tax_evidence,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-014,P1,外协采购付款归集,外协、采购、付款归集和未归集成本池,S16,S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-SUBCONTRACT,test_unassigned_cost_pool,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-015,P1,项目交付生产状态,开工、完工、结算、开票、回款生命周期和异常清单,S16,S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-PROJECT-LIFECYCLE,test_project_lifecycle,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-016,P1,客户经营分析,客户价值、账龄、项目毛利、回款质量,S16,S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-CUSTOMER,test_customer_profile,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P2-017,P2,财务SOP与岗位交接,财务SOP、交接材料、操作检查清单进入知识材料，不参与自动财务执行,S17,S17PAT01;S17PAT02;S17PAT03;S17PBT01;S17PBT02;S17PBT03;S17PCT01;S17PCT02;S17PCT03,ACC-SOP,test_sop_index,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P2-018,P2,后续红圈自动接入,红圈可做，但不进入第一轮文件型MVP；后续只读接入，保留导出与hash,S07;S18,S7PAT01;S7PAT02;S7PAT03;S7PBT01;S7PBT02;S7PBT03;S7PCT01;S7PCT02;S7PCT03;S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-REDCIRCLE-LATER,connector_plan_check,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P2-019,P2,OpMe后续接入,独立开发稳定后再接入OpMe入口，KMFA管项目财务经营，OpMe管技术服务报告,S18,S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-OPME-HANDOFF,opme_integration_check,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-020,P0,防遗漏协议,所有P0/P1要求必须有任务、验收、测试、证据输出,S01;S18,S1PAT01;S1PAT02;S1PAT03;S1PBT01;S1PBT02;S1PBT03;S1PCT01;S1PCT02;S1PCT03;S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-NO-OMISSION,no_omission_check,KMFA/metadata/stage_status.jsonl,stage1_bound_future_stage_pending,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
