file,title,control_type,index,label,action,status,reason,console
00_KMFA_HTML_human_flow_entry_v1_4.html,KMFA v1.4 HTML可点击验收入口,link,0,系统全流程 首页、经营总览、项目成本、回款应收、财务资金、开票纳税、数据源检查、待处理事项、报告中心、系统治理。,KMFA_系统全流程可点击验收样板_v1_4.html,PASS,exists,
00_KMFA_HTML_human_flow_entry_v1_4.html,KMFA v1.4 HTML可点击验收入口,link,1,经营分析报告 可切换章节、可导出CSV、可触发打印流程，避免报告变成AI作文。,KMFA_经营分析报告可点击预览_v1_4.html,PASS,exists,
00_KMFA_HTML_human_flow_entry_v1_4.html,KMFA v1.4 HTML可点击验收入口,link,2,数据源检查板 支持搜索、登记上传、转人工复核、状态变更和就绪率更新。,KMFA_数据源检查板可点击预览_v1_4.html,PASS,exists,
00_KMFA_HTML_human_flow_entry_v1_4.html,KMFA v1.4 HTML可点击验收入口,link,3,待处理事项工作台 支持差异处理、影响预览、重跑链路；前端不改原始数据。,KMFA_待处理事项工作台可点击预览_v1_4.html,PASS,exists,
00_KMFA_HTML_human_flow_entry_v1_4.html,KMFA v1.4 HTML可点击验收入口,link,4,Codex任务控制台 按18个Stage展示开发路线和质量门禁。,KMFA_Codex开发任务控制台可点击预览_v1_4.html,PASS,exists,
KMFA_Codex开发任务控制台可点击预览_v1_4.html,KMFA Codex开发任务控制台 v1.4,button,0,运行防遗漏检查,click,PASS,visible feedback / navigation / state change,
KMFA_Codex开发任务控制台可点击预览_v1_4.html,KMFA Codex开发任务控制台 v1.4,button,1,查看Stage详情,click,PASS,visible feedback / navigation / state change,
KMFA_待处理事项工作台可点击预览_v1_4.html,KMFA 待处理事项工作台可点击预览 v1.4,button,0,生成影响预览,click,PASS,visible feedback / navigation / state change,
KMFA_待处理事项工作台可点击预览_v1_4.html,KMFA 待处理事项工作台可点击预览 v1.4,button,1,采用源文件显示值,click,PASS,visible feedback / navigation / state change,
KMFA_待处理事项工作台可点击预览_v1_4.html,KMFA 待处理事项工作台可点击预览 v1.4,button,2,采用系统复算值,click,PASS,visible feedback / navigation / state change,
KMFA_待处理事项工作台可点击预览_v1_4.html,KMFA 待处理事项工作台可点击预览 v1.4,button,3,采用Excel汇总值,click,PASS,visible feedback / navigation / state change,
KMFA_待处理事项工作台可点击预览_v1_4.html,KMFA 待处理事项工作台可点击预览 v1.4,button,4,输入人工确认值,click,PASS,visible feedback / navigation / state change,
KMFA_待处理事项工作台可点击预览_v1_4.html,KMFA 待处理事项工作台可点击预览 v1.4,button,5,生成影响预览,click,PASS,visible feedback / navigation / state change,
KMFA_待处理事项工作台可点击预览_v1_4.html,KMFA 待处理事项工作台可点击预览 v1.4,button,6,复跑受影响链路,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,input,0,搜索来源、文件包、主体、报表……,type=金蝶,PASS,input accepted; feedback expected,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,0,重跑数据链路,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,1,查看规则,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,2,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,3,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,4,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,5,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,6,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,7,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,8,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,9,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,10,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,11,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,12,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,13,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,14,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,15,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,16,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,17,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,18,登记上传,click,PASS,visible feedback / navigation / state change,
KMFA_数据源检查板可点击预览_v1_4.html,KMFA 数据源检查板可点击预览 v1.4,button,19,转复核,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,0,首页 总览,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,1,经营总览 6,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,2,项目成本 P0,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,3,回款应收 4,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,4,财务资金 3,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,5,开票纳税 2,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,6,数据源检查 33%,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,7,待处理事项 0,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,8,报告中心 5,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,9,系统治理 Q,click,PASS,visible feedback / navigation / state change,
KMFA_系统全流程可点击验收样板_v1_4.html,KMFA 经营分析系统｜可点击验收样板 v1.4,button,10,查看治理内核,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,0,打印/另存PDF,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,1,导出CSV附表,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,2,本期摘要,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,3,项目成本,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,4,回款资金,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,5,开票纳税,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,6,下期事项,click,PASS,visible feedback / navigation / state change,
KMFA_经营分析报告可点击预览_v1_4.html,KMFA 经营分析报告可点击预览 v1.4,button,7,打印/另存PDF,click,PASS,visible feedback / navigation / state change,
