数据包,文件路径,文件类型,大小KB,工作表数量,工作表摘要,KMFA用途判断,MVP状态,阻塞/下一步,指纹/CRC
销售绩效考核,销售绩效考核/山东圣川.pdf,PDF,134.8,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-69415e24
销售绩效考核,销售绩效考核/新疆宜化064.pdf,PDF,77.2,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-ef9409a4
销售绩效考核,销售绩效考核/余永昕/贵州凯里瑞安 004.pdf,PDF,73.3,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-839e54b9
销售绩效考核,销售绩效考核/余永昕/福建鼎信 002.pdf,PDF,72.9,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-2d1f3668
销售绩效考核,销售绩效考核/余永昕/广安台泥 079.pdf,PDF,74.1,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-6dd0e3eb
销售绩效考核,销售绩效考核/余永昕/福建鼎信003.pdf,PDF,73.7,0,,后续：销售绩效与商务贡献分析,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-aa6d8980
销售绩效考核,销售绩效考核/余永昕/竣工项目财务报表  池州恒鑫 085.pdf,PDF,60.0,0,,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-e0d46f75
销售绩效考核,销售绩效考核/余永昕/余永昕26.01-03.xlsx,Excel OOXML,848.7,3,总览; 明细表; 项目成本,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,221ecc0513424c33
销售绩效考核,销售绩效考核/余永昕/竣工项目财务报表  崇阳昌华 084 .pdf,PDF,58.2,0,,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需人工确认是否作为证据附件；MVP不依赖OCR自动抽取,crc-347b0972
财务,财务/外协费用支付明细.xls,Excel/WPS OLE,167.0,0,,MVP支撑：成本费用、采购领料、库存、外协,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-86526f6b
财务,财务/面试问题.doc,Word/文档,17.0,0,,待归类：进入数据源检查板人工复核队列,部分/阻塞,需人工确认是否纳入流程/岗位/制度资料,crc-154ad4b7
财务,财务/202412开明报表系列一(费用、税金、资产).xlsx,Excel OOXML,7349.3,20,1费用类明细表; 2费用归集明细; 3费用对比; 3费用对比 (2); 4费用横向对比; 5非经营性收支明细表; 6非经营性汇总; 7税费构成表; 8收发明细表; 9采购汇总表; 10领料汇总表; 11库存账龄; 12外部贷款及跟踪; 12个人借支; 14资产台账-固定资产; 15资产台账-低值易耗品; 16资产台账-库存商品; 17底表,MVP核心：回款、应收账龄、客户信用与现金预测,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,cc3963bcdfa0545c
财务,财务/公司账户使用分配.xls,Excel/WPS OLE,23.0,0,,待归类：进入数据源检查板人工复核队列,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-46279974
财务,财务/2026年3-9月资金计划表.xlsx,Excel OOXML,28.9,3,总表; 25年实际; 待完工项目,MVP核心：资金计划、现金流、银行账户、贷款压力,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,0f39b9f28aa4c420
财务,财务/客户分析.xlsx,Excel OOXML,75.7,3,回款天数分析; 原始数据2025年; 客户账龄间隔分析_按客户,MVP核心：回款、应收账龄、客户信用与现金预测,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,0364f0b7e1bd694a
财务,财务/经营分析数据支撑.xlsx,Excel OOXML,16941.3,12,财务数据; 板块分析; 22-25年板块分析; 25年客户分析; 25年岚丹客户; 25年武汉客户; 24年客户分析; 24年武汉客户; 22年; 23年; 24年; 25年,MVP支撑：经营分析底表、客户与板块分析,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,958c7918da5d4833
财务,财务/财务工作内容移交.doc,Word/文档,14.0,0,,待归类：进入数据源检查板人工复核队列,部分/阻塞,需人工确认是否纳入流程/岗位/制度资料,crc-571e27a1
财务,财务/客户账龄与开票回款间隔分析.xlsx,Excel OOXML,229.8,5,参数; 结论_应收_穿透图; 账龄桶分析明细; 明细_开票; 明细_应收,MVP核心：回款、应收账龄、客户信用与现金预测,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,c409a545bf541e72
财务,财务/2025.1月-9月日记账.xlsx,Excel OOXML,2055.7,60,档案; 资金账户; 日期汇总; 流水汇总; 单日流水; 9; 1; 2; 3; 4; 5; 6; 7; 8; 10; 11; 12; 16,MVP核心：资金计划、现金流、银行账户、贷款压力,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,bb8258f13cf90816
财务,财务/2025年经营情况.xlsx,Excel OOXML,28.4,3,原始数据; 合同利润图; 开票利润图,MVP核心：开票、纳税、税率、政策税务口径,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,1d052b63c2aff9c9
财务,财务/研发费用明细汇总2025.xls,Excel/WPS OLE,100.0,0,,MVP支撑：成本费用、采购领料、库存、外协,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-1d61000d
财务,财务/2025年账户清单.xlsx,Excel OOXML,23.9,6,武汉开明; 湖北开明; 湖北岚丹; 武汉彤烨; 其它; 汇总,MVP核心：资金计划、现金流、银行账户、贷款压力,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,3da141a8d79cccf7
财务,财务/12月份开票计划.xls,Excel/WPS OLE,28.0,0,,MVP核心：开票、纳税、税率、政策税务口径,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-81b62f03
财务,财务/202510开明报表系列一(费用、税金、资产).xlsx,Excel OOXML,6321.0,20,1费用类明细表; 2费用归集明细; 3费用对比; 3费用对比 (2); 4费用横向对比; 5非经营性收支明细表; 6非经营性汇总; 7.2025年税负率明细表; 8收发明细表; 9采购汇总表; 10领料汇总表; 11库存账龄; 12外部贷款及跟踪; 13个人借支; 14资产台账-固定资产; 15资产台账-低值易耗品; 16资产台账-库存商品; 17底表,MVP核心：回款、应收账龄、客户信用与现金预测,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,d46f77b0c90d7c99
财务,财务/财务岗位说明书.xlsx,Excel OOXML,237.4,11,组织图; 财务部组织图; 财务部岗位清单; 岗位说明书-财务经理（余丽）; 岗位说明书-往来会计（潘佳敏）; 岗位说明书-总账会计（王金平）; 岗位说明书-出纳（杨婷）; 工作流程样式; 流程图工作符号说明; 工作推进计划; 库管岗位职责,待归类：进入数据源检查板人工复核队列,部分/阻塞,需要字段映射、口径确认、样例行校验；不阻塞结构识别,65740a0cef79cd37
财务,财务/财务岗位说明书2025011.xlsx,Excel OOXML,240.8,11,组织图; 财务部组织图; 财务部岗位清单; 岗位说明书-财务经理（余丽）; 岗位说明书-往来会计（潘佳敏）; 岗位说明书-总账会计（王金平）; 岗位说明书-出纳（杨婷）; 工作流程样式; 流程图工作符号说明; 工作推进计划; 库管岗位职责,待归类：进入数据源检查板人工复核队列,部分/阻塞,需要字段映射、口径确认、样例行校验；不阻塞结构识别,5679255e92cbe96a
财务,财务/2026年账户清单(1).xlsx,Excel OOXML,23.2,6,武汉开明; 湖北开明; 湖北岚丹; 武汉彤烨; 其它; 汇总,MVP核心：资金计划、现金流、银行账户、贷款压力,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,9911db0a5c8399df
财务,财务/2025年月度现金情况.xlsx,Excel OOXML,23.1,3,现金流总表; 现金流流入; 现金流图表,MVP核心：资金计划、现金流、银行账户、贷款压力,部分/阻塞,需要字段映射、口径确认、样例行校验；不阻塞结构识别,4f2a79de03f365ec
财务,财务/贷款/开明银行贷款 25.12.xlsx,Excel OOXML,7317.7,17,Sheet1; Sheet1 (2); 25.12贷款明细; 25.12; 付款计划; Sheet2; 湖北-仲利; 武汉-农商行; 武汉-微众银行; 湖北-微众银行; 岚丹-微众银行; 武汉-宁波银行租赁; 武汉-浦发银行; 武汉-交通银行; 武汉-华夏银行; 武汉-中国银行; 湖北-中国银行,MVP核心：资金计划、现金流、银行账户、贷款压力,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,4c2e9f5a4ff32800
财务,财务/贷款/贷款明细表2026.02.xls,Excel/WPS OLE,31.5,0,,MVP核心：资金计划、现金流、银行账户、贷款压力,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-1581dfa3
财务,财务/贷款/贷款明细表2026.01.xls,Excel/WPS OLE,30.5,0,,MVP核心：资金计划、现金流、银行账户、贷款压力,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-b41f935e
财务,财务/贷款/银行贷款2026.5.25.xlsx,Excel OOXML,8954.6,13,Sheet1; Sheet1 (2); 贷款明细; 湖北-仲利; 湖北-中国银行; 武汉开明交通银行; 武汉-农商行; 岚丹 微众; 湖北微众; 武汉-中国银行; 林总个人为公司贷款; 付款计划; Sheet2,MVP核心：资金计划、现金流、银行账户、贷款压力,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,72aa8ee6d4c1743a
财务,财务/开票纳税/2021-2025年纳税明细.xls,Excel/WPS OLE,122.0,0,,MVP核心：开票、纳税、税率、政策税务口径,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-bb8e78ac
财务,财务/开票纳税/2026.01开票、纳税 资金汇总表.xlsx,Excel OOXML,558.2,16,2023-2025年销售回款; 2025年资金流汇总; 2026年回2026年合同款; 2026年回2025年合同款; 2026年会024年合同款; 2026项目成本明细; 2026日常费用明细; 2026贷款; 1月份收款明细; 1月份付款明细; 贴息; 2026年开票及纳税汇总; 2025年开票及纳税汇总; 2026开票明细表; 2025开票明细表; Sheet1,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,0cb6cbee1dcdd091
财务,财务/开票纳税/2024-2025.12开票、纳税 资金汇总表 -改    .xls,Excel/WPS OLE,4468.0,0,,MVP核心：开票、纳税、税率、政策税务口径,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-598b1931
财务,财务/开票纳税/2026.02开票、纳税 资金汇总表    .xls,Excel/WPS OLE,2937.0,0,,MVP核心：开票、纳税、税率、政策税务口径,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-5f56883c
财务,财务/开票纳税/2026开票计划.xlsx,Excel OOXML,16.7,3,2026年开票计划; 2025年12月份开票计划; Sheet3,MVP核心：开票、纳税、税率、政策税务口径,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,1053e64aa6a63fbe
财务,财务/开票纳税/2024-2025.12开票、纳税 资金汇总表.xlsx,Excel OOXML,1306.2,13,2025年资金流汇总; 2025年开票及纳税汇总; 2024年开票及纳税汇总; 2025年回2025年合同款明细; 2025年回往年合同款明细; 2025项目成本明细; 2025日常费用明细; 2025贷款; 1-12月份收款明细; 1-12月份支出明细; 贴息; 2025开票明细表; 2024开票明细表,MVP核心：项目成本、项目状态、项目利润核对,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,7bee02d06d9abe82
WPS,WPS/2026年回款表(销售会计)(1).xlsx,Excel OOXML,180.2,19,1月; 2月; 3月; 4月; 5月; 6月; 7月; 8月; 9月; 10月; 11月; 12月; 汇总; Sheet1; 保证金; Sheet2; 2026回款汇总表; 2024年回款明细汇总,MVP核心：回款、应收账龄、客户信用与现金预测,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,a81501a7ca280d82
WPS,WPS/生产项目状态表.xlsx,Excel/WPS OLE,73.0,0,,MVP核心：项目成本、项目状态、项目利润核对,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-85e01be2
WPS,WPS/2026年回款表(销售会计).xlsx,Excel/WPS OLE,276.5,0,,MVP核心：回款、应收账龄、客户信用与现金预测,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-771d69d0
WPS,WPS/保证金2026.xlsx,Excel/WPS OLE,835.5,0,,待归类：进入数据源检查板人工复核队列,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-04ab24a7
WPS,WPS/应收账龄表2025.xlsx,Excel/WPS OLE,10087.5,0,,MVP核心：回款、应收账龄、客户信用与现金预测,部分/阻塞,需转换为xlsx/csv或实现xls/WPS读取适配器,crc-8c44a5ba
WPS,WPS/2023年至今 应收款汇总表以及明细表(1).xlsx,Excel OOXML,120.7,6,2023年前应收款汇总表; 2023年前明细; 2023年-至今应收款汇总; 2023年-至今应收款明细; Sheet2; Sheet3,MVP核心：回款、应收账龄、客户信用与现金预测,人工复核,需要字段映射、口径确认、样例行校验；不阻塞结构识别,9bfeadef9213cc79
